p1,p2,p3
2022-06-24,MSU-horticulture-farm-bees-105017,162
2022-06-24,MSU-horticulture-farm-bees-105017,164
2022-06-24,MSU-horticulture-farm-bees-105017,168
2022-06-24,MSU-horticulture-farm-bees-105017,170
2022-06-24,MSU-horticulture-farm-bees-105017,176
2022-06-24,MSU-horticulture-farm-bees-105017,178
2022-06-24,MSU-horticulture-farm-bees-105017,180
2022-06-24,MSU-horticulture-farm-bees-105017,185
2022-06-24,MSU-horticulture-farm-bees-105017,188
2022-06-24,MSU-horticulture-farm-bees-105017,190
2022-06-24,MSU-horticulture-farm-bees-105017,192
2022-06-24,MSU-horticulture-farm-bees-105017,205
2022-06-24,MSU-horticulture-farm-bees-105017,206
2022-06-24,MSU-horticulture-farm-bees-105017,212
2022-06-24,MSU-horticulture-farm-bees-105017,224
2022-06-24,MSU-horticulture-farm-bees-105017,233
2022-06-24,MSU-horticulture-farm-bees-105017,241
2022-06-24,MSU-horticulture-farm-bees-105017,242
2022-06-24,MSU-horticulture-farm-bees-105017,247
2022-06-24,MSU-horticulture-farm-bees-105017,252
2022-06-24,MSU-horticulture-farm-bees-105017,253
2022-06-24,MSU-horticulture-farm-bees-110409,25
2022-06-24,MSU-horticulture-farm-bees-110409,37
2022-06-24,MSU-horticulture-farm-bees-110409,84
2022-06-24,MSU-horticulture-farm-bees-110409,143
2022-06-24,MSU-horticulture-farm-bees-111746,14
2022-06-24,MSU-horticulture-farm-bees-111746,20
2022-06-24,MSU-horticulture-farm-bees-111746,32
2022-06-24,MSU-horticulture-farm-bees-111746,50
2022-06-24,MSU-horticulture-farm-bees-111746,134
2022-06-24,MSU-horticulture-farm-bees-111746,154
2022-06-24,MSU-horticulture-farm-bees-111746,175
2022-06-24,MSU-horticulture-farm-bees-111746,204
2022-06-24,MSU-horticulture-farm-bees-113017,32
2022-06-24,MSU-horticulture-farm-bees-113017,34
2022-06-24,MSU-horticulture-farm-bees-113017,52
2022-06-24,MSU-horticulture-farm-bees-113017,142
2022-06-24,MSU-horticulture-farm-bees-113017,150
2022-06-24,MSU-horticulture-farm-bees-113017,174
2022-06-24,MSU-horticulture-farm-bees-113017,205
2022-06-24,MSU-horticulture-farm-bees-113017,252
2022-06-24,MSU-horticulture-farm-bees-113017,253
2022-06-24,MSU-horticulture-farm-bees-114343,101
2022-06-24,MSU-horticulture-farm-bees-114343,167
2022-06-24,MSU-horticulture-farm-bees-114343,181
2022-06-24,MSU-horticulture-farm-bees-114343,230
2022-06-24,MSU-horticulture-farm-bees-114343,243
2022-06-24,MSU-horticulture-farm-bees-115816,2
2022-06-24,MSU-horticulture-farm-bees-115816,8
2022-06-24,MSU-horticulture-farm-bees-115816,12
2022-06-24,MSU-horticulture-farm-bees-115816,19
2022-06-24,MSU-horticulture-farm-bees-115816,42
2022-06-24,MSU-horticulture-farm-bees-115816,48
2022-06-24,MSU-horticulture-farm-bees-115816,49
2022-06-24,MSU-horticulture-farm-bees-115816,52
2022-06-24,MSU-horticulture-farm-bees-115816,68
2022-06-24,MSU-horticulture-farm-bees-115816,69
2022-06-24,MSU-horticulture-farm-bees-115816,87
2022-06-24,MSU-horticulture-farm-bees-115816,93
2022-06-24,MSU-horticulture-farm-bees-115816,95
2022-06-24,MSU-horticulture-farm-bees-115816,100
2022-06-24,MSU-horticulture-farm-bees-115816,109
2022-06-24,MSU-horticulture-farm-bees-115816,112
2022-06-24,MSU-horticulture-farm-bees-115816,114
2022-06-24,MSU-horticulture-farm-bees-115816,115
2022-06-24,MSU-horticulture-farm-bees-115816,135
2022-06-24,MSU-horticulture-farm-bees-115816,139
2022-06-24,MSU-horticulture-farm-bees-115816,147
2022-06-24,MSU-horticulture-farm-bees-115816,151
2022-06-24,MSU-horticulture-farm-bees-115816,152
2022-06-24,MSU-horticulture-farm-bees-115816,155
2022-06-24,MSU-horticulture-farm-bees-115816,159
2022-06-24,MSU-horticulture-farm-bees-115816,161
2022-06-24,MSU-horticulture-farm-bees-115816,162
2022-06-24,MSU-horticulture-farm-bees-115816,174
2022-06-24,MSU-horticulture-farm-bees-115816,185
2022-06-24,MSU-horticulture-farm-bees-115816,190
2022-06-24,MSU-horticulture-farm-bees-115816,205
2022-06-24,MSU-horticulture-farm-bees-115816,209
2022-06-24,MSU-horticulture-farm-bees-115816,238
2022-06-24,MSU-horticulture-farm-bees-115816,273
2022-06-24,MSU-horticulture-farm-bees-115816,275
2022-06-24,MSU-horticulture-farm-bees-115816,284
2022-06-24,MSU-horticulture-farm-bees-115816,289
2022-06-24,MSU-horticulture-farm-bees-115816,292
2022-06-24,MSU-horticulture-farm-bees-115816,296
2022-06-24,MSU-horticulture-farm-bees-115816,299
2022-06-24,MSU-horticulture-farm-bees-115816,301
2022-06-24,MSU-horticulture-farm-bees-115816,313
2022-06-24,MSU-horticulture-farm-bees-115816,315
2022-06-24,MSU-horticulture-farm-bees-115816,316
2022-06-24,MSU-horticulture-farm-bees-115816,337
2022-06-24,MSU-horticulture-farm-bees-115816,366
2022-06-24,MSU-horticulture-farm-bees-115816,367
2022-06-24,MSU-horticulture-farm-bees-115816,396
2022-06-24,MSU-horticulture-farm-bees-115816,401
2022-06-24,MSU-horticulture-farm-bees-115816,407
2022-06-24,MSU-horticulture-farm-bees-115816,418
2022-06-24,MSU-horticulture-farm-bees-115816,447
2022-06-24,MSU-horticulture-farm-bees-115816,465
2022-06-24,MSU-horticulture-farm-bees-115816,472
2022-06-24,MSU-horticulture-farm-bees-115816,479
2022-06-24,MSU-horticulture-farm-bees-115816,490
2022-06-24,MSU-horticulture-farm-bees-115816,528
2022-06-24,MSU-horticulture-farm-bees-115816,536
2022-06-24,MSU-horticulture-farm-bees-115816,540
2022-06-24,MSU-horticulture-farm-bees-115816,544
2022-06-24,MSU-horticulture-farm-bees-115816,560
2022-06-24,MSU-horticulture-farm-bees-115816,572
2022-06-24,MSU-horticulture-farm-bees-115816,582
2022-06-24,MSU-horticulture-farm-bees-115816,587
2022-06-24,MSU-horticulture-farm-bees-115816,600
2022-06-24,MSU-horticulture-farm-bees-115816,601
2022-06-24,MSU-horticulture-farm-bees-115816,615
2022-06-24,MSU-horticulture-farm-bees-115816,618
2022-06-24,MSU-horticulture-farm-bees-115816,620
2022-06-24,MSU-horticulture-farm-bees-115816,625
2022-06-24,MSU-horticulture-farm-bees-115816,652
2022-06-24,MSU-horticulture-farm-bees-115816,668
2022-06-24,MSU-horticulture-farm-bees-115816,671
2022-06-24,MSU-horticulture-farm-bees-115816,675
2022-06-24,MSU-horticulture-farm-bees-115816,676
2022-06-24,MSU-horticulture-farm-bees-115816,685
2022-06-24,MSU-horticulture-farm-bees-115816,693
2022-06-24,MSU-horticulture-farm-bees-115816,702
2022-06-24,MSU-horticulture-farm-bees-115816,707
2022-06-24,MSU-horticulture-farm-bees-115816,712
2022-06-24,MSU-horticulture-farm-bees-115816,718
2022-06-24,MSU-horticulture-farm-bees-115816,771
2022-06-24,MSU-horticulture-farm-bees-115816,777
2022-06-24,MSU-horticulture-farm-bees-115816,781
2022-06-24,MSU-horticulture-farm-bees-115816,794
2022-06-24,MSU-horticulture-farm-bees-115816,803
2022-06-24,MSU-horticulture-farm-bees-115816,807
2022-06-24,MSU-horticulture-farm-bees-115816,815
2022-06-24,MSU-horticulture-farm-bees-115816,840
2022-06-24,MSU-horticulture-farm-bees-115816,847
2022-06-24,MSU-horticulture-farm-bees-115816,850
2022-06-24,MSU-horticulture-farm-bees-115816,859
2022-06-24,MSU-horticulture-farm-bees-115816,879
2022-06-24,MSU-horticulture-farm-bees-115816,883
2022-06-24,MSU-horticulture-farm-bees-115816,884
2022-06-24,MSU-horticulture-farm-bees-115816,911
2022-06-24,MSU-horticulture-farm-bees-115816,920
2022-06-24,MSU-horticulture-farm-bees-115816,926
2022-06-24,MSU-horticulture-farm-bees-115816,927
2022-06-24,MSU-horticulture-farm-bees-115816,980
2022-06-24,MSU-horticulture-farm-bees-115816,987
2022-06-24,MSU-horticulture-farm-bees-115816,1004
2022-06-24,MSU-horticulture-farm-bees-115816,1008
2022-06-24,MSU-horticulture-farm-bees-115816,1010
2022-06-24,MSU-horticulture-farm-bees-115816,1012
2022-06-24,MSU-horticulture-farm-bees-115816,1018
2022-06-24,MSU-horticulture-farm-bees-115816,1023
